year_month,commodity,cpi_category,median_price_ghc,n_markets
2022-03,Plantain,Food & Beverages,5.005,10
2022-03,Pepper,Food & Beverages,4.800000000000001,12
2022-03,Onions,Food & Beverages,3.89,11
2022-03,Yam,Food & Beverages,4.24,15
2022-03,Maize,Food & Beverages,3.795,14
2022-03,Fish (fresh),Food & Beverages,10.96,7
2022-03,Eggs,Food & Beverages,2.81,11
2022-03,Chicken,Food & Beverages,6.52,6
2022-03,Cassava,Food & Beverages,1.44,13
2022-03,Beans/Cowpea,Food & Beverages,10.274999999999999,6
2022-03,Millet,Food & Beverages,5.23,11
2022-04,Yam,Food & Beverages,4.865,14
2022-04,Tomatoes,Food & Beverages,5.41,14
2022-04,Sorghum,Food & Beverages,4.78,9
2022-04,Rice,Food & Beverages,6.96,13
2022-04,Plantain,Food & Beverages,7.02,13
2022-04,Pepper,Food & Beverages,4.07,11
2022-04,Onions,Food & Beverages,3.89,13
2022-04,Millet,Food & Beverages,5.655,12
2022-04,Fish (fresh),Food & Beverages,10.32,11
2022-04,Eggs,Food & Beverages,2.42,12
2022-04,Chicken,Food & Beverages,7.98,12
2022-04,Cassava,Food & Beverages,2.295,10
2022-04,Beans/Cowpea,Food & Beverages,9.73,13
2022-04,Maize,Food & Beverages,4.550000000000001,12
2022-05,Plantain,Food & Beverages,8.05,13
2022-05,Yam,Food & Beverages,5.8100000000000005,12
2022-05,Tomatoes,Food & Beverages,4.68,13
2022-05,Sorghum,Food & Beverages,4.205,8
2022-05,Rice,Food & Beverages,6.84,12
2022-05,Pepper,Food & Beverages,5.35,8
2022-05,Onions,Food & Beverages,3.58,8
2022-05,Maize,Food & Beverages,4.9,13
2022-05,Fish (fresh),Food & Beverages,10.934999999999999,8
2022-05,Eggs,Food & Beverages,1.935,8
2022-05,Chicken,Food & Beverages,7.89,9
2022-05,Cassava,Food & Beverages,1.53,10
2022-05,Beans/Cowpea,Food & Beverages,10.555,10
2022-05,Millet,Food & Beverages,6.925,12
2022-06,Yam,Food & Beverages,5.885,12
2022-06,Tomatoes,Food & Beverages,4.4,14
2022-06,Rice,Food & Beverages,6.734999999999999,14
2022-06,Plantain,Food & Beverages,8.075,10
2022-06,Pepper,Food & Beverages,5.695,10
2022-06,Onions,Food & Beverages,3.74,11
2022-06,Sorghum,Food & Beverages,5.785,6
2022-06,Maize,Food & Beverages,4.9,13
2022-06,Fish (fresh),Food & Beverages,11.96,8
2022-06,Eggs,Food & Beverages,2.115,10
2022-06,Chicken,Food & Beverages,3.94,9
2022-06,Cassava,Food & Beverages,1.71,9
2022-06,Beans/Cowpea,Food & Beverages,7.165,12
2022-06,Millet,Food & Beverages,6.470000000000001,8
2022-07,Yam,Food & Beverages,4.865,10
2022-07,Tomatoes,Food & Beverages,5.77,14
2022-07,Sorghum,Food & Beverages,6.34,11
2022-07,Rice,Food & Beverages,8.0,13
2022-07,Plantain,Food & Beverages,7.36,11
2022-07,Pepper,Food & Beverages,2.59,10
2022-07,Onions,Food & Beverages,4.015,10
2022-07,Fish (fresh),Food & Beverages,11.2,7
2022-07,Maize,Food & Beverages,4.73,11
2022-07,Eggs,Food & Beverages,2.7800000000000002,10
2022-07,Chicken,Food & Beverages,7.78,9
2022-07,Cassava,Food & Beverages,1.41,9
