source,cpi_category,product_name,price_ghc,unit,currency,url,scraped_at
Big Samps Market,Food & Beverages,1000ml Peanut Butter (Groundnut Paste),60.0,1000ml,GHS,https://bigsampsmarket.com/product/1000ml-peanut-butter-groundnut-paste/,2026-05-05T15:04:01.405983+00:00
Big Samps Market,Food & Beverages,La Belle Natural Cocoa Powder,70.0,,GHS,https://bigsampsmarket.com/product/la-belle-natural-cocoa-powder/,2026-05-05T15:04:01.409221+00:00
Big Samps Market,Food & Beverages,La Belle Natural Date Powder (300g),55.0,300g,GHS,https://bigsampsmarket.com/product/la-belle-natural-date-powder-300g/,2026-05-05T15:04:01.412810+00:00
Big Samps Market,Food & Beverages,210g Tasty Tom Tomato Paste,12.0,210g,GHS,https://bigsampsmarket.com/product/210g-tasty-tom-tomato-paste/,2026-05-05T15:04:01.416026+00:00
Big Samps Market,Food & Beverages,Annapurna Refined Iodated Salt,15.0,,GHS,https://bigsampsmarket.com/product/annapurna-refined-iodated-salt/,2026-05-05T15:04:01.419325+00:00
Big Samps Market,Food & Beverages,Auntie Nana Cereal Legume Mix,45.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-cereal-legume-mix/,2026-05-05T15:04:01.422864+00:00
Big Samps Market,Food & Beverages,Auntie Nana Hausa Kooko Powder,42.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-hausa-kooko-powder/,2026-05-05T15:04:01.426164+00:00
Big Samps Market,Food & Beverages,Auntie Nana Kokonte Flour,45.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-kokonte-flour/,2026-05-05T15:04:01.429467+00:00
Big Samps Market,Food & Beverages,Auntie Nana Koose Mix Powder,45.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-koose-mix-powder/,2026-05-05T15:04:01.433456+00:00
Big Samps Market,Food & Beverages,Auntie Nana Pancake Mix,50.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-pancake-mix/,2026-05-05T15:04:01.436760+00:00
Big Samps Market,Food & Beverages,Auntie Nana Plantain Fufu,70.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-plantain-fufu/,2026-05-05T15:04:01.439873+00:00
Big Samps Market,Food & Beverages,Auntie Nana Soy Pancake Mix,50.0,,GHS,https://bigsampsmarket.com/product/auntie-nana-soy-pancake-mix/,2026-05-05T15:04:01.443198+00:00
Big Samps Market,Food & Beverages,Blueband,35.0,,GHS,https://bigsampsmarket.com/product/blueband/,2026-05-05T15:04:01.453142+00:00
Big Samps Market,Food & Beverages,Brown sugar,30.0,,GHS,https://bigsampsmarket.com/product/brown-sugar/,2026-05-05T15:04:01.456286+00:00
Big Samps Market,Food & Beverages,Canned Sweet Corn,20.0,,GHS,https://bigsampsmarket.com/product/canned-sweet-corn/,2026-05-05T15:04:01.459823+00:00
Big Samps Market,Food & Beverages,Cassava Dough,10.0,,GHS,https://bigsampsmarket.com/product/cassava-dough/,2026-05-05T15:04:01.464834+00:00
Big Samps Market,Food & Beverages,Cassava Dough Olonka,30.0,,GHS,https://bigsampsmarket.com/product/cassava-dough-olonka/,2026-05-05T15:04:01.468669+00:00
Big Samps Market,Food & Beverages,Corn Dough – Mmore,10.0,,GHS,https://bigsampsmarket.com/product/corn-dough-mmore/,2026-05-05T15:04:01.477280+00:00
Big Samps Market,Food & Beverages,Corn Dough – Mmore Olonka,20.0,,GHS,https://bigsampsmarket.com/product/corn-dough-mmore-olonka/,2026-05-05T15:04:01.488029+00:00
Big Samps Market,Food & Beverages,Ena Pa Mackerel – Big,22.0,,GHS,https://bigsampsmarket.com/product/ena-pa-mackerel-big/,2026-05-05T15:04:01.491282+00:00
Big Samps Market,Food & Beverages,Exeter Corned Beef,55.0,,GHS,https://bigsampsmarket.com/product/exeter-corned-beef/,2026-05-05T15:04:10.046594+00:00
Big Samps Market,Food & Beverages,Fortin Oats (500g),22.0,500g,GHS,https://bigsampsmarket.com/product/fortin-oats/,2026-05-05T15:04:10.050081+00:00
Big Samps Market,Food & Beverages,Geisha Soap,13.0,,GHS,https://bigsampsmarket.com/product/geisha-soap/,2026-05-05T15:04:10.053396+00:00
Big Samps Market,Food & Beverages,GFJ Washing Powder (2.7kg),80.0,7kg,GHS,https://bigsampsmarket.com/product/3kg-gfj-washing-powder/,2026-05-05T15:04:10.057380+00:00
Big Samps Market,Food & Beverages,Gino Tomato paste (medium),9.0,,GHS,https://bigsampsmarket.com/product/gino-tomato-paste-medium/,2026-05-05T15:04:10.061053+00:00
Big Samps Market,Food & Beverages,Gino Tomatoes Paste (Strip of 5),15.0,,GHS,https://bigsampsmarket.com/product/gino-tomatoes-paste-strip/,2026-05-05T15:04:10.064462+00:00
Big Samps Market,Food & Beverages,Good Morning Oats,35.0,,GHS,https://bigsampsmarket.com/product/good-morning-oats/,2026-05-05T15:04:10.068314+00:00
Big Samps Market,Food & Beverages,Ideal Milk,12.0,,GHS,https://bigsampsmarket.com/product/ideal-milk/,2026-05-05T15:04:10.071601+00:00
Big Samps Market,Food & Beverages,Kokonte Flour (Dry Cassava Flour),15.0,,GHS,https://bigsampsmarket.com/product/kokonte-flour-dry-cassava-flour/,2026-05-05T15:04:10.074776+00:00
Big Samps Market,Food & Beverages,Lipton Yellow Label Tea Bags,25.0,,GHS,https://bigsampsmarket.com/product/lipton-yellow-label-tea-bags/,2026-05-05T15:04:10.077867+00:00
Big Samps Market,Food & Beverages,Madar Liquid Soap (400ml),20.0,400ml,GHS,https://bigsampsmarket.com/product/madar-liquid-soap-400ml/,2026-05-05T15:04:10.081122+00:00
Big Samps Market,Food & Beverages,Madar Multipurpose Perfumed Soap (105g),6.0,105g,GHS,https://bigsampsmarket.com/product/madar-multipurpose-perfumed-soap-105g/,2026-05-05T15:04:10.084387+00:00
